"","GO.ID","Term","Annotated","Significant","Expected","Fisher","fdr"
"40","GO:0042175","nuclear outer membrane-endoplasmic retic...",39,4,4.39,"0.57767",1
"41","GO:0005963","magnesium-dependent protein serine/threo...",15,2,1.69,"0.57785",1
"42","GO:0000228","nuclear chromosome",10,1,1.13,"0.58315",1
"43","GO:0055029","nuclear DNA-directed RNA polymerase comp...",13,1,1.46,"0.59491",1
"44","GO:0000148","1,3-beta-D-glucan synthase complex",9,1,1.01,"0.64294",1
"45","GO:0015630","microtubule cytoskeleton",22,1,2.48,"0.64706",1
"46","GO:0030312","external encapsulating structure",9,1,1.01,"0.65851",1
"47","GO:0005886","plasma membrane",21,2,2.36,"0.66802",1
"48","GO:0031966","mitochondrial membrane",52,3,5.85,"0.67085",1
"49","GO:0000785","chromatin",69,7,7.77,"0.67390",1
"50","GO:0016591","RNA polymerase II, holoenzyme",13,1,1.46,"0.68421",1
"51","GO:0110165","cellular anatomical entity",1177,132,132.5,"0.70975",1
"52","GO:0043229","intracellular organelle",478,46,53.81,"0.73708",1
"53","GO:0005643","nuclear pore",19,1,2.14,"0.74456",1
"54","GO:1990234","transferase complex",32,3,3.6,"0.76225",1
"55","GO:0012505","endomembrane system",106,10,11.93,"0.77525",1
"56","GO:0090575","RNA polymerase II transcription regulato...",17,1,1.91,"0.79884",1
"57","GO:0061695","transferase complex, transferring phosph...",13,1,1.46,"0.80464",1
"58","GO:0000145","exocyst",25,5,2.81,"0.80769",1
"59","GO:0043227","membrane-bounded organelle",353,32,39.74,"0.80992",1
"60","GO:0043231","intracellular membrane-bounded organelle",353,32,39.74,"0.80992",1
"61","GO:0098800","inner mitochondrial membrane protein com...",19,1,2.14,"0.81800",1
"62","GO:0005794","Golgi apparatus",18,1,2.03,"0.83430",1
"63","GO:0030880","RNA polymerase complex",13,1,1.46,"0.84671",1
"64","GO:0098798","mitochondrial protein-containing complex",23,1,2.59,"0.87084",1
"65","GO:0031981","nuclear lumen",32,2,3.6,"0.87899",1
"66","GO:0098827","endoplasmic reticulum subcompartment",39,4,4.39,"0.88484",1
"67","GO:0005635","nuclear envelope",21,1,2.36,"0.89397",1
"68","GO:0005654","nucleoplasm",19,1,2.14,"0.89758",1
"69","GO:0098796","membrane protein complex",77,5,8.67,"0.90075",1
"70","GO:0140513","nuclear protein-containing complex",51,3,5.74,"0.90122",1
"71","GO:0070013","intracellular organelle lumen",38,2,4.28,"0.90170",1
"72","GO:0043233","organelle lumen",38,2,4.28,"0.90170",1
"73","GO:0016020","membrane",613,62,69.01,"0.90986",1
"74","GO:0005694","chromosome",90,8,10.13,"0.91044",1
"75","GO:0009521","photosystem",29,1,3.26,"0.91334",1
"76","GO:1905369","endopeptidase complex",5,1,0.56,"0.91667",1
"77","GO:0043226","organelle",478,46,53.81,"0.93727",1
"78","GO:0031974","membrane-enclosed lumen",38,2,4.28,"0.93977",1
